listing_id,property_type,number_of_bedrooms,guest_capacity,location_score,review_score,amenities_count,host_response_time,season,minimum_stay_nights,years_as_host,cleaning_fee,cancellation_policy,nightly_rate
102765,Luxury Home,5,5,67.96,3.62,13,within an hour,peak,5,6.5,74.92,flexible,352.67
103231,Standard Apartment,2,3,78.15,3.4,6,same day,peak,1,0.3,22.89,moderate,109.17
103609,Standard Apartment,1,3,70.97,3.62,7,within an hour,peak,3,2.7,32.05,strict,153.38
102154,Luxury Home,3,3,67.72,4.08,9,within an hour,peak,5,8.0,75.56,flexible,156.72
102305,Standard Apartment,1,1,69.14,4.01,5,within an hour,shoulder,2,0.2,29.06,moderate,87.77
101672,Luxury Home,4,5,79.5,3.88,9,within an hour,peak,2,1.4,85.56,flexible,277.97
102549,Standard Apartment,1,3,80.28,5.0,7,within an hour,off-peak,3,1.2,21.53,flexible,221.19
102391,Tiny Studio,1,3,55.24,4.3,5,within an hour,shoulder,1,1.3,25.11,strict,62.9
102099,Standard Apartment,2,2,96.53,4.79,12,within an hour,off-peak,2,2.8,26.86,flexible,73.98
102897,Standard Apartment,2,3,73.24,3.93,9,within an hour,peak,3,0.9,29.65,moderate,451.73
102034,Tiny Studio,1,2,68.34,3.68,3,within an hour,shoulder,1,0.1,22.79,moderate,85.33
102358,Standard Apartment,1,2,79.69,4.75,15,same day,shoulder,3,9.8,20.32,moderate,118.6
102434,Tiny Studio,1,2,61.51,4.17,5,>24 hours,off-peak,1,4.1,10.17,strict,75.7
103967,Standard Apartment,2,3,77.91,4.69,9,same day,peak,1,0.4,7.42,moderate,214.54
102986,Tiny Studio,1,2,81.52,4.2,10,same day,peak,1,1.8,23.05,moderate,82.54
103001,Luxury Home,4,6,58.4,3.49,8,>24 hours,peak,5,0.2,59.87,moderate,262.42
101105,Tiny Studio,1,1,74.29,3.58,7,within an hour,peak,1,0.1,16.78,flexible,182.27
100990,Luxury Home,4,4,72.31,4.39,13,within an hour,shoulder,5,0.1,68.92,flexible,246.3
100184,Standard Apartment,2,3,84.18,3.49,11,within an hour,off-peak,1,4.2,18.72,moderate,79.3
103275,Standard Apartment,2,4,81.98,4.56,14,within an hour,peak,2,1.8,25.83,flexible,109.72
103212,Standard Apartment,2,4,74.25,3.72,4,same day,peak,1,5.6,31.41,moderate,220.9
102049,Standard Apartment,2,3,63.18,3.89,6,within an hour,peak,2,1.1,22.49,flexible,136.22
102864,Standard Apartment,1,1,65.01,4.32,5,same day,peak,2,4.5,31.77,flexible,270.13
102952,Standard Apartment,1,2,66.01,4.43,6,within an hour,off-peak,3,0.2,35.41,moderate,92.71
100880,Luxury Home,5,7,73.87,4.33,13,>24 hours,off-peak,4,3.0,69.53,moderate,270.47
103005,Luxury Home,5,6,73.52,3.72,11,>24 hours,peak,4,1.3,69.53,moderate,445.19
102044,Luxury Home,4,4,73.03,4.07,12,>24 hours,peak,4,1.0,53.18,flexible,364.8
103033,Standard Apartment,2,2,82.74,3.81,10,same day,off-peak,3,5.1,21.84,flexible,66.56
100587,Luxury Home,3,5,64.92,3.68,10,within an hour,peak,5,0.2,51.46,moderate,394.57
103386,Standard Apartment,1,2,78.56,4.68,7,same day,shoulder,1,9.0,25.16,flexible,194.47
100340,Standard Apartment,1,2,65.03,3.43,4,within an hour,off-peak,1,4.6,15.63,flexible,77.69
102963,Luxury Home,4,6,98.64,4.59,20,same day,shoulder,5,1.3,71.46,flexible,243.09
101718,Standard Apartment,1,2,85.86,3.65,9,within an hour,peak,1,14.2,32.46,flexible,163.76
100819,Tiny Studio,1,3,61.67,4.07,4,within an hour,peak,1,0.7,13.35,flexible,156.48
103431,Luxury Home,4,5,69.29,3.5,8,>24 hours,off-peak,3,1.5,48.46,flexible,162.69
103945,Standard Apartment,1,1,77.4,3.04,11,within an hour,peak,2,6.5,36.22,flexible,156.42
102863,Standard Apartment,1,3,65.5,4.75,6,within an hour,peak,2,17.2,29.58,flexible,92.54
103152,Standard Apartment,2,3,82.88,4.72,9,within an hour,off-peak,1,0.8,15.49,moderate,113.33
103633,Standard Apartment,2,3,73.52,3.13,7,same day,off-peak,1,4.1,13.28,flexible,108.52
101819,Standard Apartment,2,3,70.53,4.35,7,same day,shoulder,2,1.1,32.12,strict,340.93
102317,Standard Apartment,1,3,54.85,4.51,3,same day,peak,3,4.4,26.79,strict,194.0
100202,Luxury Home,4,4,47.31,3.45,9,same day,shoulder,4,0.4,51.7,strict,212.32
102855,Standard Apartment,1,2,68.3,3.94,8,within an hour,peak,3,1.2,23.8,flexible,157.87
103062,Standard Apartment,1,3,84.08,4.1,10,same day,peak,1,0.2,29.02,flexible,118.9
102911,Luxury Home,3,4,81.87,4.32,8,same day,off-peak,2,2.0,65.13,strict,144.48
102194,Standard Apartment,2,2,53.5,4.14,3,same day,peak,2,3.6,28.79,flexible,158.61
101585,Tiny Studio,1,1,79.05,3.46,7,within an hour,peak,1,1.4,19.57,moderate,101.39
103624,Standard Apartment,1,1,80.43,3.76,9,within an hour,peak,2,2.9,49.72,strict,177.21
102589,Standard Apartment,2,4,58.71,3.79,3,within an hour,shoulder,1,2.5,24.9,moderate,153.47
101779,Tiny Studio,1,2,78.48,4.2,6,within an hour,off-peak,1,1.0,7.83,moderate,250.08
102382,Standard Apartment,1,3,75.3,4.22,7,within an hour,off-peak,2,2.0,36.08,flexible,54.34
103626,Standard Apartment,2,3,64.28,3.56,4,within an hour,shoulder,3,0.2,24.19,flexible,116.51
100082,Standard Apartment,2,4,84.41,3.67,5,within an hour,shoulder,1,1.8,13.01,moderate,104.77
102230,Tiny Studio,1,2,81.11,4.66,6,within an hour,shoulder,1,1.8,11.65,moderate,30.0
103453,Standard Apartment,1,3,70.15,3.71,7,same day,peak,1,0.1,13.43,strict,184.02
102439,Standard Apartment,1,2,82.15,4.07,4,same day,peak,2,2.2,11.88,strict,136.23
103184,Standard Apartment,1,3,48.39,3.6,5,within an hour,shoulder,1,4.0,24.91,strict,143.34
103027,Tiny Studio,1,1,61.38,3.96,7,same day,peak,1,1.8,16.42,strict,172.35
101470,Standard Apartment,2,4,75.62,4.01,9,>24 hours,peak,3,3.1,27.86,moderate,105.71
103006,Luxury Home,5,5,72.22,4.53,14,same day,shoulder,4,2.3,70.24,moderate,213.85
100930,Tiny Studio,1,1,70.01,4.78,4,>24 hours,shoulder,1,4.6,8.37,moderate,193.0
103920,Standard Apartment,2,3,105.88,4.84,15,within an hour,shoulder,3,2.2,31.51,flexible,40.7
101449,Luxury Home,3,3,74.02,4.37,9,same day,off-peak,2,1.2,51.08,flexible,158.8
103271,Standard Apartment,1,1,80.7,4.46,9,within an hour,shoulder,1,5.3,21.66,moderate,141.67
100289,Standard Apartment,1,2,80.07,4.12,3,within an hour,off-peak,2,0.2,29.72,strict,83.39
102582,Tiny Studio,1,3,79.44,3.24,7,>24 hours,peak,1,1.0,18.84,strict,103.41
102699,Luxury Home,3,5,65.28,4.08,10,>24 hours,shoulder,3,2.7,51.05,flexible,392.84
100756,Tiny Studio,1,1,83.99,4.46,8,within an hour,peak,1,5.8,13.24,flexible,208.13
103573,Standard Apartment,2,4,62.08,4.31,8,>24 hours,peak,1,0.2,35.96,flexible,90.41
103447,Luxury Home,3,3,72.25,3.76,7,within an hour,off-peak,2,0.3,54.44,flexible,259.74
100120,Tiny Studio,1,3,63.62,3.52,3,same day,peak,1,1.0,13.67,flexible,122.87
100542,Standard Apartment,2,4,84.54,3.57,10,within an hour,peak,3,1.3,34.73,flexible,200.82
102710,Luxury Home,3,5,95.48,3.2,15,within an hour,shoulder,2,5.6,58.01,moderate,427.93
100670,Standard Apartment,2,2,59.5,3.24,7,same day,peak,2,9.6,49.71,flexible,174.94
103248,Tiny Studio,1,2,73.39,5.0,8,within an hour,shoulder,1,0.1,20.53,strict,221.63
103949,Standard Apartment,2,4,51.64,4.15,5,within an hour,peak,2,0.0,51.5,flexible,287.46
102268,Luxury Home,3,5,64.02,3.36,13,within an hour,peak,2,6.0,46.88,flexible,526.71
100431,Luxury Home,5,7,93.25,4.07,10,within an hour,off-peak,3,0.4,71.69,strict,212.5
103265,Luxury Home,3,3,69.58,3.76,10,same day,shoulder,5,1.2,80.81,strict,247.45
103452,Standard Apartment,2,3,55.11,4.38,8,within an hour,shoulder,1,1.0,25.36,strict,115.61
102672,Standard Apartment,2,2,69.35,4.9,6,same day,shoulder,1,1.0,42.05,flexible,95.86
101452,Luxury Home,3,5,77.09,4.25,10,within an hour,off-peak,5,1.2,55.22,strict,303.36
101629,Luxury Home,4,4,61.61,3.91,6,within an hour,off-peak,3,1.2,52.12,moderate,243.4
101870,Standard Apartment,2,4,69.11,4.33,11,within an hour,peak,1,2.9,42.51,flexible,134.23
103855,Tiny Studio,1,3,72.9,4.01,8,same day,peak,1,3.0,7.05,moderate,155.89
101636,Standard Apartment,2,2,68.8,3.95,9,within an hour,peak,3,2.2,31.37,flexible,90.56
102697,Tiny Studio,1,3,95.38,4.67,10,within an hour,peak,1,5.9,18.36,flexible,38.68
102322,Standard Apartment,2,4,73.94,4.43,8,within an hour,peak,1,5.6,19.89,flexible,192.21
100971,Luxury Home,5,6,44.81,2.39,8,same day,peak,3,0.7,85.46,flexible,638.81
103262,Tiny Studio,1,1,51.77,3.82,10,within an hour,off-peak,1,2.4,5.07,flexible,30.0
100870,Standard Apartment,1,1,58.65,3.21,4,same day,shoulder,2,4.6,38.01,moderate,65.93
100855,Standard Apartment,1,3,76.66,4.6,11,within an hour,peak,3,6.0,36.12,flexible,96.06
103250,Tiny Studio,1,3,61.78,3.37,4,within an hour,shoulder,1,0.9,22.08,flexible,112.74
103687,Luxury Home,3,3,67.5,3.18,7,within an hour,off-peak,5,2.0,54.5,flexible,153.53
101149,Luxury Home,3,3,89.05,3.26,6,within an hour,peak,5,2.2,82.7,flexible,268.91
102964,Standard Apartment,2,2,81.11,4.48,10,same day,shoulder,2,3.6,21.46,flexible,88.22
101989,Luxury Home,5,7,51.81,3.18,11,>24 hours,peak,2,1.2,28.85,flexible,255.49
102476,Luxury Home,4,5,69.93,3.83,8,within an hour,shoulder,2,1.0,50.2,moderate,143.51
100491,Luxury Home,3,4,67.21,4.65,11,within an hour,peak,2,3.7,70.8,flexible,82.45
103226,Luxury Home,4,6,58.22,3.99,6,within an hour,shoulder,3,1.5,94.19,strict,328.15
102513,Standard Apartment,2,4,89.1,4.27,12,within an hour,shoulder,1,0.0,33.0,flexible,245.01
101900,Luxury Home,5,7,76.7,3.53,14,within an hour,shoulder,5,8.3,42.53,flexible,263.35
100919,Standard Apartment,1,1,62.51,3.84,6,same day,shoulder,1,0.5,12.73,moderate,132.92
100717,Standard Apartment,2,4,70.3,4.21,5,within an hour,shoulder,2,0.5,22.15,moderate,54.63
100881,Standard Apartment,2,2,94.46,4.93,14,same day,peak,2,5.1,34.06,flexible,351.58
100388,Luxury Home,3,4,87.37,3.12,11,within an hour,shoulder,5,1.2,63.81,strict,202.78
100571,Standard Apartment,2,4,64.24,4.11,4,within an hour,off-peak,2,1.2,26.93,flexible,162.49
101571,Luxury Home,5,7,59.03,3.0,13,within an hour,off-peak,5,2.9,80.64,moderate,114.35
100912,Standard Apartment,2,2,81.94,4.14,12,within an hour,off-peak,1,0.2,36.78,flexible,98.93
101372,Tiny Studio,1,1,62.68,4.48,3,within an hour,peak,1,0.8,15.05,flexible,246.93
100051,Standard Apartment,2,2,77.82,3.02,6,within an hour,peak,2,0.2,29.95,moderate,238.99
103266,Standard Apartment,1,2,76.92,4.19,10,within an hour,shoulder,3,1.0,23.98,flexible,81.07
101447,Standard Apartment,2,3,57.15,3.58,7,same day,peak,3,6.1,20.8,flexible,183.08
100088,Standard Apartment,2,4,70.49,3.97,8,within an hour,peak,2,7.2,47.02,flexible,128.32
100141,Tiny Studio,1,3,35.9,3.21,3,same day,shoulder,1,1.1,26.51,flexible,61.28
101955,Tiny Studio,1,1,62.57,3.7,5,within an hour,peak,1,0.6,11.89,moderate,79.09
101814,Standard Apartment,1,2,63.43,3.25,8,same day,peak,2,0.4,24.04,flexible,200.99
100195,Standard Apartment,1,3,52.41,3.67,8,within an hour,off-peak,1,1.5,31.3,strict,92.85
100985,Tiny Studio,1,1,92.9,4.48,9,within an hour,peak,1,5.3,20.53,moderate,87.94
100303,Tiny Studio,1,1,67.06,3.54,5,>24 hours,peak,1,5.7,18.74,moderate,110.44
100935,Standard Apartment,1,2,74.71,4.91,9,within an hour,peak,2,0.1,43.31,flexible,102.04
103820,Standard Apartment,1,2,70.95,4.71,3,same day,off-peak,3,0.7,32.04,moderate,93.36
